waktu,kecepatan,status,kena_speedbump,catatan
2025-06-04T01:13:46,24.8,Aman,TIDAK,Normal
2025-06-04T01:13:46,27.11,Aman,TIDAK,Normal
2025-06-04T01:13:47,34.86,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:48,28.37,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:48,33.63,Terlalu Cepat,YA,Normal
2025-06-04T01:13:48,34.68,Terlalu Cepat,YA,Normal
2025-06-04T01:13:49,25.17,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:50,31.58,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:51,34.44,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:51,29.37,Aman,TIDAK,Normal
2025-06-04T01:13:52,29.63,Aman,TIDAK,Normal
2025-06-04T01:13:53,31.58,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:53,26.01,Aman,TIDAK,Normal
2025-06-04T01:13:54,25.95,Aman,TIDAK,Normal
2025-06-04T01:13:54,33.02,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:54,27.14,Aman,TIDAK,Normal
2025-06-04T01:13:54,24.88,Aman,TIDAK,Normal
2025-06-04T01:13:55,31.97,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:55,28.94,Aman,TIDAK,Normal
2025-06-04T01:13:57,26.36,Aman,TIDAK,Normal
2025-06-04T01:13:57,26.26,Aman,TIDAK,Normal
2025-06-04T01:13:57,27.43,Aman,TIDAK,Normal
2025-06-04T01:14:00,27.89,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:00,35.46,Terlalu Cepat,YA,Normal
2025-06-04T01:14:01,33.22,Terlalu Cepat,YA,Normal
2025-06-04T01:14:01,33.22,Terlalu Cepat,YA,Normal
2025-06-04T01:14:01,31.48,Terlalu Cepat,YA,Normal
2025-06-04T01:14:01,25.09,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:02,32.17,Terlalu Cepat,YA,Normal
2025-06-04T01:14:02,36.04,Terlalu Cepat,YA,Normal
2025-06-04T01:14:03,31.53,Terlalu Cepat,YA,Normal
2025-06-04T01:14:03,28.37,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:03,28.53,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:04,28.76,Aman,TIDAK,Normal
2025-06-04T01:14:04,34.58,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:05,29.76,Aman,TIDAK,Normal
2025-06-04T01:14:07,29.94,Aman,TIDAK,Normal
2025-06-04T01:14:07,28.89,Aman,TIDAK,Normal
2025-06-04T01:14:08,28.74,Aman,TIDAK,Normal
2025-06-04T01:14:09,28.1,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:09,29.85,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:09,26.95,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:10,30.14,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:10,31.95,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:11,33.67,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:11,29.48,Aman,TIDAK,Normal
2025-06-04T01:14:11,35.36,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:12,31.63,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:12,24.43,Aman,TIDAK,Normal
2025-06-04T01:14:13,26.99,Aman,TIDAK,Normal
2025-06-04T01:14:13,25.83,Aman,TIDAK,Normal
2025-06-04T01:14:15,31.48,Terlalu Cepat,YA,Normal
2025-06-04T01:14:15,29.5,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:16,34.25,Terlalu Cepat,YA,Normal
2025-06-04T01:14:16,29.06,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:17,35.93,Terlalu Cepat,YA,Normal
2025-06-04T01:14:17,31.19,Terlalu Cepat,YA,Normal
2025-06-04T01:14:17,28.02,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:18,31.9,Terlalu Cepat,YA,Normal
2025-06-04T01:14:19,34.58,Terlalu Cepat,YA,Normal
2025-06-04T01:14:19,30.18,Terlalu Cepat,YA,Normal
2025-06-04T01:14:20,31.41,Terlalu Cepat,YA,Normal
2025-06-04T01:14:20,33.17,Terlalu Cepat,YA,Normal
2025-06-04T01:14:20,25.73,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:21,29.38,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:22,26.61,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:22,34.31,Terlalu Cepat,YA,Normal
2025-06-04T01:14:23,32.29,Terlalu Cepat,YA,Normal
2025-06-04T01:14:23,32.12,Terlalu Cepat,YA,Normal
2025-06-04T01:14:24,26.89,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:25,34.78,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:25,28.14,Aman,TIDAK,Normal
2025-06-04T01:14:25,25.73,Aman,TIDAK,Normal
2025-06-04T01:14:26,31.33,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:27,25.54,Aman,TIDAK,Normal
2025-06-04T01:14:28,34.4,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:28,26.81,Aman,TIDAK,Normal
2025-06-04T01:14:29,24.37,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:29,28.69,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:29,25.66,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:30,26.65,Aman,TIDAK,Normal
2025-06-04T01:14:30,34.97,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:14:30,26.81,Aman,TIDAK,Normal
2025-06-04T01:14:31,30.0,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:31,34.5,Terlalu Cepat,YA,Normal
2025-06-04T01:14:33,33.37,Terlalu Cepat,YA,Normal
2025-06-04T01:14:33,28.13,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:35,29.13,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:35,32.93,Terlalu Cepat,YA,Normal
2025-06-04T01:14:36,28.9,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:14:36,33.82,Terlalu Cepat,YA,Normal
