waktu,kecepatan,status,kena_speedbump,catatan
2025-06-04T01:04:25,28.69,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:26,31.81,Terlalu Cepat,YA,Normal
2025-06-04T01:04:26,30.18,Terlalu Cepat,YA,Normal
2025-06-04T01:04:28,27.5,Aman,TIDAK,Normal
2025-06-04T01:04:29,27.49,Aman,TIDAK,Normal
2025-06-04T01:04:29,28.18,Aman,TIDAK,Normal
2025-06-04T01:04:31,34.48,Terlalu Cepat,YA,Normal
2025-06-04T01:04:31,36.25,Terlalu Cepat,YA,Normal
2025-06-04T01:04:31,31.14,Terlalu Cepat,YA,Normal
2025-06-04T01:04:31,32.84,Terlalu Cepat,YA,Normal
2025-06-04T01:04:32,37.43,Terlalu Cepat,YA,Normal
2025-06-04T01:04:32,29.43,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:32,29.88,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:33,23.63,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:34,25.96,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:34,31.09,Terlalu Cepat,YA,Normal
2025-06-04T01:04:34,33.54,Terlalu Cepat,YA,Normal
2025-06-04T01:04:35,28.24,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:36,31.81,Terlalu Cepat,YA,Normal
2025-06-04T01:04:37,34.19,Terlalu Cepat,YA,Normal
2025-06-04T01:04:38,29.75,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:38,37.13,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:39,33.41,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:40,26.13,Aman,TIDAK,Normal
2025-06-04T01:04:40,29.96,Aman,TIDAK,Normal
2025-06-04T01:04:40,31.38,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:40,35.31,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:41,22.78,Aman,TIDAK,Normal
2025-06-04T01:04:41,29.27,Aman,TIDAK,Normal
2025-06-04T01:04:42,31.02,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:43,28.21,Aman,TIDAK,Normal
2025-06-04T01:04:44,25.63,Aman,TIDAK,Normal
2025-06-04T01:04:44,27.68,Aman,TIDAK,Normal
2025-06-04T01:04:44,27.05,Aman,TIDAK,Normal
2025-06-04T01:04:45,32.45,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:46,30.12,Terlalu Cepat,YA,Normal
2025-06-04T01:04:46,32.1,Terlalu Cepat,YA,Normal
2025-06-04T01:04:46,26.8,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:47,33.92,Terlalu Cepat,YA,Normal
2025-06-04T01:04:49,32.91,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:49,29.66,Aman,TIDAK,Normal
2025-06-04T01:04:49,31.2,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:50,27.82,Aman,TIDAK,Normal
2025-06-04T01:04:51,31.19,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:51,28.25,Aman,TIDAK,Normal
2025-06-04T01:04:51,29.62,Aman,TIDAK,Normal
2025-06-04T01:04:53,32.95,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:53,29.69,Aman,TIDAK,Normal
2025-06-04T01:04:53,28.17,Aman,TIDAK,Normal
2025-06-04T01:04:53,29.54,Aman,TIDAK,Normal
2025-06-04T01:04:53,31.01,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:53,32.33,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:55,31.66,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:56,33.19,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:56,26.97,Aman,TIDAK,Normal
2025-06-04T01:04:56,34.32,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:58,23.87,Aman,TIDAK,Normal
2025-06-04T01:04:59,32.47,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:59,36.41,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:00,21.44,Aman,TIDAK,Normal
2025-06-04T01:05:00,30.99,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:00,33.24,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:01,29.73,Aman,TIDAK,Normal
2025-06-04T01:05:01,30.85,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:02,24.79,Aman,TIDAK,Normal
2025-06-04T01:05:03,27.97,Aman,TIDAK,Normal
2025-06-04T01:05:03,26.54,Aman,TIDAK,Normal
2025-06-04T01:05:04,35.97,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:04,30.21,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:04,30.21,Terlalu Cepat,YA,Normal
2025-06-04T01:05:05,33.08,Terlalu Cepat,YA,Normal
2025-06-04T01:05:06,34.9,Terlalu Cepat,YA,Normal
2025-06-04T01:05:07,27.14,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:05:08,28.52,Aman,TIDAK,Normal
2025-06-04T01:05:08,28.05,Aman,TIDAK,Normal
2025-06-04T01:05:09,33.8,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:10,29.38,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:05:10,33.8,Terlalu Cepat,YA,Normal
2025-06-04T01:05:10,31.68,Terlalu Cepat,YA,Normal
2025-06-04T01:05:10,33.8,Terlalu Cepat,YA,Normal
2025-06-04T01:05:10,27.21,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:05:12,23.01,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:05:12,31.25,Terlalu Cepat,YA,Normal
2025-06-04T01:05:12,29.54,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:05:13,31.55,Terlalu Cepat,YA,Normal
2025-06-04T01:05:13,33.2,Terlalu Cepat,YA,Normal
2025-06-04T01:05:15,28.42,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:05:16,31.76,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:05:16,27.09,Aman,TIDAK,Normal
2025-06-04T01:05:17,31.19,Terlalu Cepat,TIDAK,Mobil cepat lolos
